Date,Close,Change
6/19/18,139.08,0.85
6/20/18,140.54,1.46
6/21/18,141.68,1.14
6/22/18,142.82,1.14
6/25/18,142.15,-0.67
6/26/18,143.17,1.02
6/27/18,143.35,0.18
6/28/18,144.26,0.91
6/29/18,144.17,-0.09
7/2/18,144.67,0.5
7/3/18,143.03,-1.64
7/5/18,145.67,2.64
7/6/18,145.81,0.14
7/9/18,142.18,-3.63
7/10/18,143.54,1.36
7/11/18,143.41,-0.13
7/12/18,143.76,0.35
7/13/18,143.23,-0.53
7/16/18,141.76,-1.47
7/17/18,142.17,0.41
7/18/18,141.38,-0.79
7/19/18,141.67,0.29
7/20/18,140.38,-1.29
7/23/18,140.84,0.46
7/24/18,141.57,0.73
7/25/18,142.94,1.37
7/26/18,144.51,1.57
7/27/18,144.38,-0.13
7/30/18,142.72,-1.66
7/31/18,148.24,5.52
8/1/18,150.17,1.93
8/2/18,148.21,-1.96
8/3/18,150.99,2.78
8/6/18,150.91,-0.08
8/7/18,150.03,-0.88
8/8/18,149.32,-0.71
8/9/18,150.57,1.25
8/10/18,149.18,-1.39
8/13/18,149.01,-0.17
8/14/18,149.11,0.1
8/15/18,149.54,0.43
8/16/18,149.72,0.18
8/17/18,151.17,1.45
8/20/18,150.79,-0.38
8/21/18,149.28,-1.51
8/22/18,148.11,-1.17
8/23/18,147.38,-0.73
8/24/18,148.06,0.68
8/27/18,148.37,0.31
8/28/18,150.1,1.73
8/29/18,150.45,0.35
8/30/18,148.94,-1.51
8/31/18,149.12,0.18
9/4/18,148.15,-0.97
9/5/18,147.6,-0.55
9/6/18,148.09,0.49
9/7/18,146.55,-1.54
9/10/18,147.33,0.78
9/11/18,147,-0.33
9/12/18,147.31,0.31
9/13/18,148.72,1.41
9/14/18,147.19,-1.53
9/17/18,147.75,0.56
9/18/18,147.41,-0.34
9/19/18,147.58,0.17
9/20/18,148.73,1.15
9/21/18,148.49,-0.24
9/24/18,146.38,-2.11
9/25/18,145.7,-0.68
9/26/18,143.95,-1.75
9/27/18,143.39,-0.56
9/28/18,145.3,1.91
10/1/18,144.03,-1.27
10/2/18,144.13,0.1
10/3/18,143.91,-0.22
10/4/18,144.44,0.53
10/5/18,144.75,0.31
10/8/18,145.79,1.04
10/9/18,147.65,1.86
10/10/18,145.5,-2.15
10/11/18,140.68,-4.82
10/12/18,142.05,1.37
10/15/18,142.73,0.68
10/16/18,145.69,2.96
10/17/18,146.68,0.99
10/18/18,146.79,0.11
10/19/18,150.15,3.36
10/22/18,149.25,-0.9
10/23/18,150.85,1.6
10/24/18,151.97,1.12
10/25/18,153.51,1.54
10/26/18,149.61,-3.9
10/29/18,152.82,3.21
10/30/18,160.95,8.13
10/31/18,155.81,-5.14
11/1/18,153.02,-2.79
11/2/18,152.06,-0.96
11/5/18,155.7,3.64
11/6/18,156.16,0.46
11/7/18,156.95,0.79
11/8/18,159.36,2.41
11/9/18,160.14,0.78
11/12/18,161.03,0.89
11/13/18,161.31,0.28
11/14/18,163.41,2.1
11/15/18,162.13,-1.28
11/16/18,163.98,1.85
11/19/18,166.23,2.25
11/20/18,160.64,-5.59
11/21/18,160.31,-0.33
11/23/18,160.39,0.08
11/26/18,161.59,1.2
11/27/18,162.08,0.49
11/28/18,162,-0.08
11/29/18,162.72,0.72
11/30/18,164.49,1.77
12/3/18,163.08,-1.41
12/4/18,163.48,0.4
12/6/18,167.63,4.15
12/7/18,166.43,-1.2
12/10/18,166.19,-0.24
12/11/18,166.64,0.45
12/12/18,164.65,-1.99
12/13/18,166.8,2.15
12/14/18,166.6,-0.2
12/17/18,160.94,-5.66
12/18/18,162.31,1.37
12/19/18,162.54,0.23
12/20/18,161.54,-1
12/21/18,158,-3.54
12/24/18,153.58,-4.42
12/26/18,157.53,3.95
12/27/18,158.6,1.07
12/28/18,158.83,0.23
12/31/18,158.19,-0.64
1/2/19,156.74,-1.45
